model,display,operating_point,target_validation_absent_fpr,validation_threshold,validation_precision_iou50,validation_recall_iou50,validation_f1_iou50,validation_absent_fpr,validation_tp,validation_fp,validation_fn,validation_absent_frames,test_threshold,test_precision_iou50,test_recall_iou50,test_f1_iou50,test_absent_fpr,test_tp,test_fp,test_fn,test_absent_frames,test_absent_fpr_cluster_ci95_low,test_absent_fpr_cluster_ci95_high
fcos_resnet50_fpn,FCOS,validation_absent_FPR<=0.10,0.1,0.3495107889175415,0.5110456553755522,0.1227015558698727,0.19788993441688052,0.09911894273127753,1041,996,7443,454,0.3495107889175415,0.26819407008086255,0.05833903368559184,0.09583213896692083,0.06212424849699399,4179,11403,67454,998,0.020379365425730846,0.17834593123133438
fcos_resnet50_fpn,FCOS,validation_absent_FPR<=0.20,0.2,0.31788110733032227,0.4546906187624751,0.13425271098538424,0.2072982072982073,0.19823788546255505,1139,1366,7345,454,0.31788110733032227,0.23044624548383946,0.06589141875951028,0.10248059490853825,0.1092184368737475,4720,15762,66913,998,0.0435696459007553,0.2901353965183752
yolov8s,YOLOv8s,validation_F1,,0.18819987773895264,0.4414469650521153,0.2545968882602546,0.32294236375869034,0.5440528634361234,2160,2733,6324,454,0.18819987773895264,0.38781054629963013,0.1653986291234487,0.23189540436859002,0.36472945891783565,11848,18703,59785,998,0.22659353630739176,0.44371455005495464
yolov8s,YOLOv8s,validation_absent_FPR<=0.05,0.05,0.5433049201965332,0.7886563133018231,0.13767090994813766,0.2344204716507777,0.048458149779735685,1168,313,7316,454,0.5433049201965332,0.7251935256861365,0.086314966565689,0.15426839157175115,0.07014028056112225,6183,2343,65450,998,0.021977473624180212,0.1074693757933846
yolov8s,YOLOv8s,validation_absent_FPR<=0.10,0.1,0.4964800179004669,0.7366391184573002,0.15759075907590758,0.2596368579473735,0.09691629955947137,1337,478,7147,454,0.4964800179004669,0.6767476917279065,0.10027501291304287,0.17466898488698676,0.09118236472945891,7183,3431,64450,998,0.029344496769673854,0.13417142548879074
yolov8s,YOLOv8s,validation_absent_FPR<=0.20,0.2,0.40175309777259827,0.6310530361260569,0.19354078264969354,0.296229478621685,0.19823788546255505,1642,960,6842,454,0.40175309777259827,0.5856605268369974,0.1238395711473762,0.20444802949988475,0.1402805611222445,8871,6276,62762,998,0.06574370266411789,0.18763333979453384
rtdetr_l,RT-DETR-L,validation_F1,,0.6204949617385864,0.7481196431694945,0.5041254125412541,0.6023519470459826,0.05726872246696035,4277,1440,4207,454,0.6204949617385864,0.585261353898886,0.35278433124397973,0.44021530850433754,0.6012024048096193,25271,17908,46362,998,0.3861358838089691,0.7192419596110695
rtdetr_l,RT-DETR-L,validation_absent_FPR<=0.05,0.05,0.6348954439163208,0.7561106155218554,0.49952852428099953,0.6016040882958336,0.048458149779735685,4238,1367,4246,454,0.6348954439163208,0.5953193215163299,0.3483589965518685,0.43952443857331575,0.5841683366733467,24954,16963,46679,998,0.37177710843373496,0.6993403996166491
rtdetr_l,RT-DETR-L,validation_absent_FPR<=0.10,0.1,0.5904446840286255,0.7306397306397306,0.5115511551155115,0.6017748197448697,0.09691629955947137,4340,1600,4144,454,0.5904446840286255,0.5660832037154687,0.36072759761562406,0.4406548431105048,0.6282565130260521,25840,19807,45793,998,0.4168060320182962,0.7467836578082689
rtdetr_l,RT-DETR-L,validation_absent_FPR<=0.20,0.2,0.5217264294624329,0.6892690513219285,0.5223950966525224,0.5943408877564704,0.19823788546255505,4432,1998,4052,454,0.5217264294624329,0.5237834989167138,0.3746178437312412,0.4368173457262383,0.7024048096192385,26835,24398,44798,998,0.5042717086834734,0.8166972622835489
yolomg_paper,YOLOMG-Arch,validation_F1,,0.11662977933883667,0.7583196254586866,0.7063884959924563,0.7314334533471655,0.6277533039647577,5993,1910,2491,454,0.11662977933883667,0.7989958867650617,0.7375930088087892,0.7670676025870892,0.5821643286573146,52836,13292,18797,998,0.3915339599678914,0.7161558741143516
yolomg_paper,YOLOMG-Arch,validation_absent_FPR<=0.05,0.05,0.6612786054611206,0.9565217391304348,0.3319189061763319,0.4928246412320616,0.048458149779735685,2816,128,5668,454,0.6612786054611206,0.9439892994482528,0.39409210838579983,0.556047982036282,0.03907815631262525,28230,1675,43403,998,0.01033369225254413,0.11869059408286256
yolomg_paper,YOLOMG-Arch,validation_absent_FPR<=0.10,0.1,0.5936180949211121,0.9338959212376934,0.3913248467703913,0.5515408256499709,0.09691629955947137,3320,235,5164,454,0.5936180949211121,0.9322320932815102,0.4687643962977957,0.6238377007607777,0.056112224448897796,33579,2441,38054,998,0.01983350155536435,0.15322849462365587
yolomg_paper,YOLOMG-Arch,validation_absent_FPR<=0.20,0.2,0.4865979254245758,0.8942243859260899,0.4763083451202263,0.6215488733369222,0.19823788546255505,4041,478,4443,454,0.4865979254245758,0.9102395426912259,0.5601747797802689,0.693536818272164,0.09018036072144289,40127,3957,31506,998,0.0404514473401091,0.21824720116059446
